Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Lead/ Senior Software Engineer- .Net,,Not Applying because of keyword mentioned .net,,,No URL,,,
"Openings For Java Developer @ Istarbs, Client Chennai",,Not Applying because of keyword mentioned java,,,No URL,,,
Flutter Developer @ ITDM,,Not Applying because of keyword mentioned flutter,,,No URL,,,
Blockchain Developer : Backend / Cryptography,,Not Applying because of keyword mentioned blockchain,,,No URL,,,
Java Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
.NET Engineer - SDE II (3-7 Years),,Not Applying because of keyword mentioned .net,,,No URL,,,
Exciting Opportunity For PHP & Python Developer || Shipco IT,,Not Applying because of keyword mentioned php,,,No URL,,,
Software Engineer Salesforce,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
Senior Dot Net Developer (.Net) Full Stack,,Not Applying because of keyword mentioned dot,,,No URL,,,
Ui Developer,,Not Applying because of keyword mentioned ui,,,No URL,,,
Game Tester (QA All Levels),,Not Applying because of keyword mentioned game,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Java and J2Ee Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Html5 Game Programmer (All Levels),,Not Applying because of keyword mentioned game,,,No URL,,,
C++ Game Programmer (All Levels),,Not Applying because of keyword mentioned c++,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-java-back-end-developer-akamai-bangalore-bengaluru-2-to-4-years-091123006932?src=jobsearchDesk&sid=16998174087944172&xp=16&px=1,,,
Java with Spark,,Not Applying because of keyword mentioned java,,,No URL,,,
"Software Engineer- Angular 8+,RxJS,NgRx - CSG International,Bangalore/Bengaluru From 3 to 8 year(s) of experience",,Not Applying because of keyword mentioned angular,,,No URL,,,
"Software Engineer- Angular 8+,RxJS,NgRx - CSG International,Bangalore/Bengaluru From 3 to 8 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-engineer-angular-8-rxjs-ngrx-csg-international-bangalore-bengaluru-3-to-8-years-301023002308?src=jobsearchDesk&sid=16998174087944172&xp=18&px=1,,,
UI Developer,,Not Applying because of keyword mentioned ui,,,No URL,,,
Frontend and User Interface Developer,,Not Applying because of keyword mentioned frontend,,,No URL,,,
